Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Primary Aerial Source,Primary Aerial Image URL,Primary Aerial Photo Date,Primary Aerial Image File,Denver GIS Aerial Image URL,Denver GIS Aerial Photo Date,Denver GIS Aerial Image File
7475 S JOLIET ST,ENGLEWOOD,CO,80112,"POLYGON ((3179719.8369993260130286 1637039.0285006552003324, 3179717.3754993262700737 1637398.5135006436612457, 3179996.3074993286281824 1637400.4245006542187184, 3179997.1219993215054274 1637281.4685006495565176, 3179920.0669993311166763 1637280.9410006441175938, 3179920.1534993341192603 1637268.2855006507597864, 3179875.7749993293546140 1637275.5615006524603814, 3179875.7409993167966604 1637280.5195006532594562, 3179837.3174993246793747 1637280.2565006525255740, 3179837.4539993279613554 1637260.3715006478596479, 3179836.6644993266090751 1637260.3660006460268050, 3179836.7894993294030428 1637242.1230006390251219, 3179842.8449993263930082 1637242.1645006504841149, 3179850.9299993370659649 1637197.9740006499923766, 3179836.7864993331022561 1637197.8770006524864584, 3179836.9119993299245834 1637179.5430006415117532, 3179838.2994993301108479 1637179.5525006384123117, 3179839.2564993333071470 1637039.8465006491169333, 3179719.8369993260130286 1637039.0285006552003324))",62646,207526327001,,,Offices 2220              Commercial,,6.46,Commercial,,1276618.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3179590.887%2C1636912.540%2C3180123.611%2C1637526.913&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
6782 S POTOMAC ST,CENTENNIAL,CO,80112,"POLYGON ((3188811.8504993324168026 1641593.4225006508640945, 3188811.9679993242025375 1641593.4960006587207317, 3188812.0579993249848485 1641593.5525006505195051, 3188813.0829993337392807 1641594.0855006454512477, 3188814.1574993273243308 1641594.5085006463341415, 3188814.3709993348456919 1641594.5770006536040455, 3188816.2264993330463767 1641593.2440006462857127, 3188817.2209993344731629 1641594.2295006504282355, 3188821.2744993246160448 1641598.2470006400253624, 3188826.7404993372038007 1641591.7450006511062384, 3188834.8899993235245347 1641599.4360006547067314, 3188835.5129993250593543 1641715.0590006613638252, 3188838.7384993229061365 1641715.0420006453059614, 3188839.3349993256852031 1641825.8300006419885904, 3188835.1779993311502039 1641825.8525006505660713, 3188835.6484993244521320 1641913.2160006507765502, 3188857.7399993208236992 1641913.0970006426796317, 3188857.7529993341304362 1641915.4395006543491036, 3188906.6299993246793747 1641915.1765006382483989, 3188906.6224993295036256 1641913.7095006457529962, 3188928.6004993305541575 1641913.5915006492286921, 3188928.4799993340857327 1641891.2300006567966193, 3188928.1479993350803852 1641829.6260006483644247, 3188928.1259993319399655 1641825.6570006606634706, 3188924.8494993322528899 1641825.6735006356611848, 3188924.2554993312805891 1641715.4255006397143006, 3188928.6164993410930037 1641715.4020006344653666, 3188928.3944993354380131 1641674.1325006473343819, 3188928.2254993272945285 1641642.7630006545223296, 3188928.0869993250817060 1641617.0440006470307708, 3188927.9949993374757469 1641599.9425006399396807, 3188923.8979993253014982 1641599.9645006472710520, 3188923.3034993251785636 1641489.5930006410926580, 3188927.4564993269741535 1641489.5705006353091449, 3188927.4564993195235729 1641489.4105006568133831, 3188927.0899993344210088 1641421.4060006502550095, 3188926.9864993225783110 1641402.1370006485376507, 3188906.0789993233047426 1641402.2490006447769701, 3188906.0669993264600635 1641400.0210006388369948, 3188856.3949993243440986 1641400.2885006419382989, 3188856.4064993239007890 1641402.3875006386078894, 3188834.6509993216022849 1641402.5045006538275629, 3188835.0464993226341903 1641475.9935006366576999, 3188797.8279993161559105 1641476.1940006576478481, 3188797.8174993223510683 1641474.2540006372146308, 3188686.7459993362426758 1641474.8525006531272084, 3188686.7544993283227086 1641476.5785006484948099, 3188664.5504993367940187 1641476.6980006427038461, 3188664.6554993242025375 1641496.3430006410926580, 3188662.6574993222020566 1641496.3535006497986615, 3188662.9004993289709091 1641541.4485006455797702, 3188664.4314993321895599 1641541.4400006390642375, 3188664.5414993334561586 1641561.8605006451252848, 3188686.6439993227832019 1641561.7420006413012743, 3188686.6574993273243308 1641564.2195006532128900, 3188798.8829993261024356 1641563.6155006382614374, 3188804.8319993326440454 1641569.4630006421357393, 3188799.8034993335604668 1641576.9650006447918713, 3188803.5204993300139904 1641580.6490006425883621, 3188804.6604993320070207 1641581.7790006436407566, 3188803.0394993256777525 1641583.6365006456617266, 3188804.9569993303157389 1641586.8005006543826312, 3188807.1804993320256472 1641589.7295006390195340, 3188807.4699993273243308 1641589.9935006455052644, 3188809.0849993168376386 1641591.4640006471890956, 3188811.1604993380606174 1641592.9895006550941616, 3188811.8504993324168026 1641593.4225006508640945))",62494,207525128001,,,Offices 2220              Commercial,,6.79,Commercial,,623610.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3188482.261%2C1641219.625%2C3189109.013%2C1642095.836&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
8525 E ARAPAHOE RD,GREENWOODVILLAGE,CO,80112,"POLYGON ((3171913.0449993317015469 1642686.2915006519760936, 3171937.3444993332959712 1642686.4830006440170109, 3171936.6609993283636868 1642773.4310006413143128, 3172011.7614993327297270 1642774.0215006552170962, 3172011.8649993273429573 1642760.9565006373450160, 3172013.0049993228167295 1642616.0645006506238133, 3172013.0844993242062628 1642605.9270006595179439, 3171855.3349993317387998 1642604.6855006450787187, 3171855.3799993256106973 1642598.9855006306897849, 3171852.8624993264675140 1642598.9655006346292794, 3171853.0064993333071470 1642580.7210006541572511, 3171831.4034993322566152 1642580.5510006470140070, 3171831.4184993305243552 1642578.6655006373766810, 3171795.9849993283860385 1642578.3870006396900862, 3171795.9664993295446038 1642580.7840006412006915, 3171662.0699993204325438 1642579.7300006451550871, 3171661.8429993218742311 1642608.6950006480328739, 3171660.8839993318542838 1642730.5190006401389837, 3171660.3464993247762322 1642798.8190006481017917, 3171705.5209993259049952 1642799.1750006424263120, 3171705.3304993351921439 1642823.3855006424710155, 3171730.8854993293061852 1642823.5870006417389959, 3171731.0774993323720992 1642799.1865006352309138, 3171854.2924993359483778 1642800.1560006532818079, 3171855.1919993325136602 1642685.8365006519015878, 3171913.0449993317015469 1642686.2915006519760936))",62421,207521418001,,,Merchandising 2212              Commercial,,16.23,Commercial,,35327150.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3171536.888%2C1642454.929%2C3172136.543%2C1642947.045&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7367 S REVERE PKY,CENTENNIAL,CO,80112,"POLYGON ((3185617.9609993221238256 1637300.0080006485804915, 3185617.7474993271753192 1637331.2245006531011313, 3185654.8779993364587426 1637331.4785006339661777, 3185654.5259993206709623 1637383.0680006484035403, 3185797.6499993382021785 1637384.0460006454959512, 3185797.9959993320517242 1637333.3740006445441395, 3185800.0374993202276528 1637034.5195006544236094, 3185619.7829993357881904 1637033.2890006557572633, 3185617.9609993221238256 1637300.0080006485804915))",61091,207525303005,,,Warehouse/Storage 2235              Industrial,,8.44,Industrial,,1548687.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3185494.983%2C1636910.524%2C3185922.802%2C1637506.811&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7760 S WHEELING CT,ENGLEWOOD,CO,80112,"POLYGON ((3188448.1369993244297802 1635511.3920006582047790, 3188466.6484993211925030 1635677.7325006506871432, 3188599.8784993295557797 1635662.9055006371345371, 3188551.1084993327967823 1635224.6700006553437561, 3188418.0754993259906769 1635239.4750006461981684, 3188442.1159993242472410 1635455.4980006406549364, 3188426.2219993355683982 1635457.2670006514526904, 3188413.3919993238523602 1635458.6950006482657045, 3188409.7509993296116590 1635459.1000006366521120, 3188403.7614993294700980 1635459.7665006432216614, 3188407.6574993273243308 1635494.7740006353706121, 3188413.3714993270114064 1635494.1385006532073021, 3188417.8364993352442980 1635493.6415006401948631, 3188429.5794993313029408 1635492.3345006443560123, 3188445.8149993279948831 1635490.5275006494484842, 3188445.9619993255473673 1635491.8465006484184414, 3188448.1369993244297802 1635511.3920006582047790))",60418,207536125001,,,Recreation 2225              Commercial,,3.04,Commercial,,956858.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3188245.190%2C1635066.098%2C3188758.450%2C1635836.304&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
6999 S JORDAN RD,CENTENNIAL,CO,80112,"POLYGON ((3191252.8834993238560855 1640014.5655006517190486, 3191253.6574993315152824 1640265.6195006466004997, 3191493.5324993277899921 1640264.7900006629060954, 3191493.4399993242695928 1640013.4135006463620812, 3191252.8834993238560855 1640014.5655006517190486))",60346,207330113001,,,Warehouse/Storage 2235              Commercial: Warehouse,,14.47,Commercial: Warehouse,,2206180.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3191164.611%2C1639925.141%2C3191581.805%2C1640353.892&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
6912 S QUENTIN ST,CENTENNIAL,CO,80112,"POLYGON ((3184593.7934993309900165 1640954.1440006427001208, 3184642.0554993292316794 1640954.3045006471220404, 3184642.0174993262626231 1640958.2915006533730775, 3184649.5399993332102895 1640958.3640006463974714, 3184653.9704993311315775 1640958.4065006452146918, 3184654.0094993235543370 1640954.3445006576366723, 3184654.0254993285052478 1640954.3445006515830755, 3184682.7249993230216205 1640954.4400006332434714, 3184682.3309993240982294 1641072.9820006447844207, 3184682.6904993308708072 1641073.3355006480123848, 3184683.0679993308149278 1641073.6745006476994604, 3184683.4629993285052478 1641073.9975006524473429, 3184683.8729993272572756 1641074.3030006519984454, 3184684.2969993380829692 1641074.5895006395876408, 3184684.7329993196763098 1641074.8555006419774145, 3184685.1794993272051215 1641075.1010006438009441, 3184771.1569993384182453 1641075.3875006497837603, 3184771.5794993331655860 1641075.0725006533320993, 3184771.9784993208013475 1641074.7280006518121809, 3184772.3519993219524622 1641074.3570006373338401, 3184772.6989993299357593 1641073.9600006388500333, 3184773.0159993302077055 1641073.5390006494708359, 3184773.3029993311502039 1641073.0975006408989429, 3184773.5579993259161711 1641072.6365006437990814, 3184774.6409993283450603 1640746.8870006434153765, 3184774.1524993306957185 1640746.4040006480645388, 3184773.6304993368685246 1640745.9565006394404918, 3184773.0789993209764361 1640745.5465006474405527, 3184772.5009993305429816 1640745.1755006485618651, 3184771.8974993224255741 1640744.8460006485693157, 3184771.2734993202611804 1640744.5595006395597011, 3184770.6294993343763053 1640744.3170006454456598, 3184686.9799993284977973 1640744.0390006550587714, 3184685.9294993346557021 1640744.0350006357766688, 3184685.5124993300996721 1640744.3570006377995014, 3184685.1174993370659649 1640744.7060006386600435, 3184684.7459993339143693 1640745.0790006429888308, 3184684.3989993305876851 1640745.4760006382130086, 3184684.0784993292763829 1640745.8930006572045386, 3184683.7844993290491402 1640746.3310006505344063, 3184683.5199993266724050 1640746.7870006381999701, 3184683.2254993286915123 1640835.3085006591863930, 3184628.2379993344657123 1640835.1255006431601942, 3184628.2609993391670287 1640828.1205006381496787, 3184608.6149993273429573 1640828.0550006569828838, 3184608.5909993294626474 1640835.3725006487220526, 3184594.1074993321672082 1640835.3250006434973329, 3184594.2999993250705302 1640777.2675006445497274, 3184594.2069993349723518 1640776.9960006556939334, 3184594.0969993281178176 1640776.7305006361566484, 3184593.9714993238449097 1640776.4705006554722786, 3184593.8299993248656392 1640776.2185006521176547, 3184593.6734993304125965 1640775.9750006401445717, 3184593.5024993279948831 1640775.7405006450135261, 3184593.3179993340745568 1640775.5160006510559469, 3184593.1204993259161711 1640775.3030006408225745, 3184592.9109993251040578 1640775.1020006458275020, 3184592.6904993336647749 1640774.9140006476081908, 3184592.4589993432164192 1640774.7395006378646940, 3184592.2179993218742311 1640774.5790006367024034, 3184591.9684993326663971 1640774.4335006615146995, 3184591.7114993329159915 1640774.3035006374120712, 3184591.4474993352778256 1640774.1900006495416164, 3184591.1784993233159184 1640774.0925006445031613, 3184590.9049993278458714 1640774.0120006462093443, 3184590.6279993322677910 1640773.9485006579197943, 3184590.3484993274323642 1640773.9025006501469761, 3184590.0684993239119649 1640773.8740006415173411, 3184589.7884993255138397 1640773.8635006360709667, 3184506.3099993336945772 1640773.5865006544627249, 3184506.0179993347264826 1640773.7105006477795541, 3184505.7349993325769901 1640773.8535006379242986, 3184505.4629993336275220 1640774.0150006418116391, 3184505.2024993291124701 1640774.1945006458554417, 3184504.9554993365891278 1640774.3905006432905793, 3184504.7224993319250643 1640774.6025006540585309, 3184504.5039993198588490 1640774.8300006464123726, 3184504.3014993201941252 1640775.0715006473474205, 3184504.1164993322454393 1640775.3260006506461650, 3184503.9489993299357593 1640775.5925006452016532, 3184503.7994993315078318 1640775.8695006421767175, 3184503.6694993218407035 1640776.1560006511863321, 3184503.5589993279427290 1640776.4520006538368762, 3184503.4684993368573487 1640776.7545006456784904, 3184503.3984993253834546 1640777.0625006456393749, 3184503.3494993234053254 1640777.3755006459541619, 3184503.3214993369765580 1640777.6915006418712437, 3184503.3139993213117123 1640778.0090006445534527, 3184503.3284993311390281 1640778.3270006577949971, 3184502.6509993220679462 1640981.9770006483886391, 3184502.6794993276707828 1640982.1790006519295275, 3184502.7204993343912065 1640982.3795006456784904, 3184502.7749993316829205 1640982.5770006561651826, 3184502.8414993258193135 1640982.7705006562173367, 3184502.9209993239492178 1640982.9595006478484720, 3184503.0124993328936398 1640983.1430006499867886, 3184503.1154993297532201 1640983.3205006460193545, 3184503.2299993331544101 1640983.4910006483551115, 3184503.3559993356466293 1640983.6535006486810744, 3184503.4914993322454393 1640983.8080006467644125, 3184503.6374993342906237 1640983.9540006536990404, 3184503.7919993256218731 1640984.0895006337668747, 3184503.9544993285089731 1640984.2155006413813680, 3184504.1259993361309171 1640984.3310006407555193, 3184504.3044993290677667 1640984.4350006501190364, 3184504.4884993284940720 1640984.5270006412174553, 3184504.6784993205219507 1640984.6075006455648690, 3184504.8729993258602917 1640984.6755006483290344, 3184505.0724993348121643 1640984.7305006333626807, 3184505.2739993310533464 1640984.7735006394796073, 3184505.4779993253760040 1640984.8030006445478648, 3184505.6834993404336274 1640984.8195006379391998, 3184505.8894993355497718 1640984.8220006350893527, 3184506.0944993318989873 1640984.8120006553363055, 3184506.2994993333704770 1640984.7890006515663117, 3184591.2194993300363421 1640985.0720006455667317, 3184591.4644993236288428 1640984.9385006553493440, 3184591.7019993294961751 1640984.7905006462242454, 3184591.9304993306286633 1640984.6265006328467280, 3184592.1494993250817060 1640984.4500006458256394, 3184592.3579993234016001 1640984.2590006550308317, 3184592.5544993272051215 1640984.0560006336309016, 3184592.7394993319176137 1640983.8410006547346711, 3184592.9109993265010417 1640983.6140006391797215, 3184593.0694993268698454 1640983.3785006476100534, 3184593.2129993289709091 1640983.1330006427597255, 3184593.3424993222579360 1640982.8790006435010582, 3184593.4559993306174874 1640982.6180006479844451, 3184593.5544993286021054 1640982.3515006473753601, 3184593.6364993294700980 1640982.0790006497409195, 3184593.7014993284828961 1640981.8030006492044777, 3184593.7934993309900165 1640954.1440006427001208))",60168,207525219002,,,Offices 2220              Commercial,,6.86,Commercial,,627526.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3184386.678%2C1640628.062%2C3184890.614%2C1641191.361&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7025 S REVERE PKY,CENTENNIAL,CO,80112,"POLYGON ((3184948.3094993252307177 1640267.7415006440132856, 3184947.5979993371292949 1640547.0365006530191749, 3185139.4459993247874081 1640547.5250006562564522, 3185139.6414993256330490 1640470.7300006470177323, 3185158.8369993250817060 1640452.4390006514731795, 3185159.0824993276037276 1640356.0350006469525397, 3185177.3179993340745568 1640337.9155006443616003, 3185177.4954993263818324 1640268.3255006442777812, 3184948.3094993252307177 1640267.7415006440132856))",58716,207525215006,,,Warehouse/Storage 2235              Commercial,,4.19,Commercial,,1277108.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3184849.674%2C1640169.817%2C3185275.420%2C1640645.449&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7305 E COUNTY LINE RD,CENTENNIAL,CO,80112,"POLYGON ((3168241.8639993201941252 1632560.5375006350222975, 3168246.4319993262179196 1632566.7210006462410092, 3168253.7349993269890547 1632567.9240006355103105, 3168254.8149993298575282 1632569.3860006702598184, 3168287.8574993303045630 1632614.1150006400421262, 3168288.8379993266426027 1632615.4425006364472210, 3168289.2934993393719196 1632616.0590006494894624, 3168287.5759993297979236 1632624.0400006587151438, 3168287.7959993313997984 1632624.3375006529968232, 3168302.4759993245825171 1632644.2115006479434669, 3168329.6254993220791221 1632648.4395006506238133, 3168334.6989993266761303 1632655.3080006423406303, 3168337.0539993341080844 1632653.5690006534568965, 3168355.8039993396960199 1632678.9535006603691727, 3168391.8614993249066174 1632683.9170006478670985, 3168431.6579993362538517 1632654.5200006426312029, 3168433.9744993252679706 1632640.4665006436407566, 3168434.4784993217326701 1632640.0940006435848773, 3168447.6134993261657655 1632657.8750006388872862, 3168467.1039993292652071 1632643.4785006481688470, 3168453.7899993364699185 1632625.4540006471797824, 3168469.5774993328377604 1632628.0755006426479667, 3168499.5684993262402713 1632605.9220006414689124, 3168508.3899993337690830 1632556.7470006458461285, 3168466.0859993230551481 1632494.9760006407741457, 3168451.6199993346817791 1632492.6405006349086761, 3168451.3664993336424232 1632489.1540006473660469, 3168441.9974993346258998 1632486.0345006487332284, 3168406.8299993281252682 1632438.4255006515886635, 3168410.5989993349649012 1632418.4310006478335708, 3168381.2799993352964520 1632378.7385006474796683, 3168348.0684993267059326 1632372.6085006450302899, 3168347.3134993314743042 1632371.5865006514359266, 3168348.9279993297532201 1632370.3935006419196725, 3168346.1124993311241269 1632366.5815006403718144, 3168344.1589993191882968 1632368.0245006510522217, 3168342.7049993299879134 1632366.0550006558187306, 3168340.3319993331097066 1632365.7010006420314312, 3168340.7829993348568678 1632363.7800006549805403, 3168329.8459993284195662 1632362.0360006408300251, 3168329.3214993313886225 1632363.8820006439927965, 3168327.4649993404746056 1632363.5670006505679339, 3168324.0984993260353804 1632366.0540006500668824, 3168320.7669993354938924 1632361.5440006467979401, 3168319.0564993359148502 1632360.5880006509833038, 3168317.0609993333928287 1632360.3585006443317980, 3168315.1809993274509907 1632361.7470006316434592, 3168314.6064993292093277 1632363.8240006545092911, 3168314.7474993322975934 1632365.6725006394553930, 3168318.2439993363805115 1632370.4070006550755352, 3168309.8969993274658918 1632376.5730006457306445, 3168309.1954993256367743 1632379.1475006400141865, 3168306.8564993301406503 1632379.0255006456281990, 3168305.8779993359930813 1632383.3105006446130574, 3168284.6909993272274733 1632398.9605006405618042, 3168279.5934993308037519 1632392.0600006494205445, 3168277.0069993282668293 1632391.5515006345231086, 3168274.8614993235096335 1632391.8385006266180426, 3168273.4494993276894093 1632393.6075006464961916, 3168273.2164993281476200 1632396.4910006339196116, 3168273.8024993273429573 1632397.8975006397813559, 3168279.6454993356019258 1632405.8080006518866867, 3168278.4704993348568678 1632406.6765006438363343, 3168276.7349993325769901 1632404.3260006452910602, 3168269.0414993297308683 1632410.0095006388146430, 3168270.5774993300437927 1632412.0885006454773247, 3168267.0129993231967092 1632414.7220006531570107, 3168264.8139993241056800 1632416.3460006564855576, 3168252.7424993319436908 1632425.2630006407853216, 3168251.7594993296079338 1632425.9890006347559392, 3168242.9024993288330734 1632424.5090006424579769, 3168241.0324993324466050 1632425.8900006411131471, 3168239.8719993229024112 1632424.3185006317216903, 3168223.1454993360675871 1632436.6745006439741701, 3168224.2479993193410337 1632438.1675006512086838, 3168222.1799993352033198 1632439.6950006429105997, 3168220.3394993189722300 1632447.9890006342902780, 3168213.5144993332214653 1632453.0310006483923644, 3168208.5624993247911334 1632485.6540006466675550, 3168206.8714993260800838 1632495.9390006423927844, 3168213.1004993389360607 1632504.3715006457641721, 3168216.0394993228837848 1632508.3505006590858102, 3168226.6989993313327432 1632500.4765006548259407, 3168236.7004993287846446 1632514.0170006519183517, 3168236.5584993325173855 1632514.8875006521120667, 3168231.4184993309900165 1632546.3975006409455091, 3168241.8639993201941252 1632560.5375006350222975))",58507,207533318008,,,Merchandising 2212              Commercial,,19.49,Commercial,,12732690.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3168093.626%2C1632247.113%2C3168621.635%2C1632797.162&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
14200 E ARAPAHOE RD,CENTENNIAL,CO,80112,"POLYGON ((3190626.6524993283674121 1641952.9945006452035159, 3190615.7594993235543370 1641952.7565006562508643, 3190568.1584993302822113 1641953.0005006482824683, 3190568.1334993285126984 1641694.1810006455052644, 3190654.7249993239529431 1641693.7375006473157555, 3190550.7284993226639926 1641693.8195006402675062, 3190550.7929993309080601 1641780.6540006466675550, 3190550.8029993325471878 1641793.5625006426125765, 3190550.8964993339031935 1641919.9365006396546960, 3190550.9029993242584169 1641928.4240006434265524, 3190550.9174993359483778 1641947.5725006577558815, 3190519.9804993220604956 1641947.5955006554722786, 3190519.9664993323385715 1641928.4240006373729557, 3190519.9654993303120136 1641927.2145006344653666, 3190504.7119993255473673 1641927.2260006484575570, 3190487.1824993337504566 1641927.2390006328932941, 3190487.2009993325918913 1641952.3735006509814411, 3190487.2134993290528655 1641968.6500006429851055, 3190487.2214993210509419 1641979.6750006410293281, 3190486.1144993361085653 1641979.6740006322506815, 3190472.2064993218518794 1641979.6665006438270211, 3190426.6919993315823376 1641952.6215006439015269, 3190426.7129993294365704 1641915.1380006498657167, 3190386.3209993229247630 1641915.1150006398092955, 3190386.2949993303045630 1641961.2200006505008787, 3190387.3904993236064911 1641961.2210006529930979, 3190387.3639993178658187 1642008.8685006387531757, 3190353.4944993252865970 1642008.8495006361044943, 3190353.4784993217326701 1642036.5345006540883332, 3190342.1084993267431855 1642036.5275006515439600, 3190342.0549993338063359 1642132.2495006523095071, 3190386.3204993265680969 1642132.2740006539970636, 3190386.3319993307814002 1642112.2525006423238665, 3190390.8504993310198188 1642112.2550006455276161, 3190408.4504993283189833 1642112.2650006467010826, 3190408.4524993314407766 1642108.3780006486922503, 3190426.5814993204548955 1642108.3880006468389183, 3190426.5809993273578584 1642109.3285006519872695, 3190486.1949993171729147 1642109.3610006496310234, 3190486.1929993364028633 1642112.9640006418339908, 3190530.9664993314072490 1642112.9885006435215473, 3190530.9219993352890015 1642192.6335006339941174, 3190588.7749993270263076 1642192.6650006566196680, 3190588.8289993237704039 1642096.2150006536394358, 3190594.3584993341937661 1642096.2180006429553032, 3190594.3684993176721036 1642077.5845006601884961, 3190597.0914993290789425 1642077.5855006566271186, 3190597.0989993438124657 1642064.2525006404612213, 3190597.0994993271306157 1642063.1010006424039602, 3190586.6869993293657899 1642063.0955006589647382, 3190586.6974993315525353 1642044.5335006543900818, 3190640.4699993235990405 1642044.5640006407629699, 3190640.4484993373043835 1642082.9915006519295275, 3190665.5594993242993951 1642083.0060006524436176, 3190665.5779993194155395 1642050.1065006370190531, 3190665.5789993200451136 1642048.1190006539691240, 3190709.3124993289820850 1642048.1435006433166564, 3190709.3219993254169822 1642031.3240006519481540, 3190714.9749993197619915 1642031.3270006533712149, 3190714.9924993352033198 1641999.8920006488915533, 3190709.5699993218295276 1641999.8890006411820650, 3190709.5824993294663727 1641976.8690006409306079, 3190630.7629993273876607 1641976.8255006459075958, 3190630.7709993245080113 1641962.8355006536003202, 3190626.6599993230774999 1641962.8335006453562528, 3190626.6529993284493685 1641953.8615006422623992, 3190626.6524993283674121 1641952.9945006452035159))",58447,207330216002,,,Special Purpose 2230              Medical,,26.41,Medical,,5257640.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3190167.430%2C1641519.113%2C3190889.617%2C1642367.290&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7101 S FULTON ST  Unit E,CENTENNIAL,CO,80112,"POLYGON ((3176817.6484993244521320 1638965.0685006373096257, 3176817.4104993329383433 1639454.2815006501041353, 3176928.1514993305318058 1639454.3360006369184703, 3176930.4964993298053741 1639454.3370006394106895, 3176932.4879993363283575 1639453.4615006449166685, 3176934.0519993281923234 1639452.4525006418116391, 3176935.1469993330538273 1639451.3640006368514150, 3176936.0484993308782578 1639450.1575006507337093, 3176936.7164993276819587 1639448.6775006400421262, 3176936.7704993290826678 1639336.6355006396770477, 3176936.9514993252232671 1638965.5070006349124014, 3176936.9514993322081864 1638965.1265006421599537, 3176817.6484993244521320 1638965.0685006373096257))",58352,207527415001,,,Warehouse/Storage 2235              Commercial,,4.17,Commercial,,2180856.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3176646.167%2C1638793.825%2C3177108.195%2C1639625.581&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7173 S REVERE PKWY,CENTENNIAL,CO,80112,"POLYGON ((3185382.4944993234239519 1639150.0745006334036589, 3185420.7169993212446570 1638935.8905006486456841, 3185371.1684993398375809 1638927.0480006379075348, 3185370.7139993300661445 1638929.5955006484873593, 3185360.8704993249848485 1638927.8385006410535425, 3185361.3154993364587426 1638925.3460006518289447, 3185262.6069993237033486 1638907.7310006506741047, 3185259.3659993298351765 1638925.8935006505344063, 3185236.4849993269890547 1639054.1095006556715816, 3185227.3764993273653090 1639105.1515006499830633, 3185214.8019993300549686 1639175.6130006464663893, 3185204.4624993335455656 1639233.5520006506703794, 3185201.1609993278980255 1639252.0515006389468908, 3185359.2614993327297270 1639280.2655006388667971, 3185378.7119993302039802 1639171.2730006442870945, 3185382.4944993234239519 1639150.0745006334036589))",56148,207525314002,,,Warehouse/Storage 2235              Commercial,,6.28,Commercial,,1916663.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3185070.774%2C1638777.344%2C3185551.104%2C1639410.653&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
7400 S ALTON CT,CENTENNIAL,CO,80112,"POLYGON ((3174497.4764993293210864 1637847.1280006540473551, 3174689.6489993380382657 1637934.9155006424989551, 3174741.6099993307143450 1637821.1700006523169577, 3174604.5174993225373328 1637758.5435006518382579, 3174624.1149993278086185 1637715.6435006570536643, 3174679.9149993383325636 1637741.1345006369519979, 3174712.7374993260018528 1637669.2830006524454802, 3174730.8524993355385959 1637629.6280006442684680, 3174732.1089993221685290 1637626.8775006458163261, 3174539.2129993271082640 1637538.7590006536338478, 3174487.0849993294104934 1637652.8700006501749158, 3174569.1009993269108236 1637690.3360006455332041, 3174497.4764993293210864 1637847.1280006540473551))",55901,207527303031,,,Offices 2220              Commercial,,14.30,Commercial,,6227200.0,Arapahoe County Aerials,https://gis.arapahoegov.com/arcgis/rest/services/Aerials/ImageServer/exportImage?bbox=3174348.430%2C1637400.104%2C3174880.265%2C1638073.570&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&f=image,20240301,,,,
