Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Primary Aerial Source,Primary Aerial Image URL,Primary Aerial Photo Date,Primary Aerial Image File,Denver GIS Aerial Image URL,Denver GIS Aerial Photo Date,Denver GIS Aerial Image File,Primary Aerial QA Status,Primary Aerial QA Reason,Primary Aerial QA Blank,Primary Aerial QA Width,Primary Aerial QA Height,Primary Aerial QA Brightness,Primary Aerial QA Contrast
8360 W 48TH AVE,WHEAT RIDGE,CO,80033,"POLYGON ((3115101.2839355468750000 1709783.9375610351562500, 3115101.2888183593750000 1709776.4441528320312500, 3115102.6608886718750000 1709776.4452514648437500, 3115102.7115478515625000 1709696.7308959960937500, 3115098.4014892578125000 1709696.6325683593750000, 3115082.1307373046875000 1709696.2605590820312500, 3115075.5326538085937500 1709696.1096801757812500, 3115075.4834594726562500 1709772.8187866210937500, 3115075.4808349609375000 1709776.7129516601562500, 3115075.4808349609375000 1709776.7534179687500000, 3115083.9439697265625000 1709776.7590942382812500, 3115083.9810180664062500 1709777.3303222656250000, 3115083.9678344726562500 1709797.9485473632812500, 3115083.9647827148437500 1709802.1564941406250000, 3115085.5995483398437500 1709802.1576538085937500, 3115088.5999755859375000 1709802.1595458984375000, 3115101.1345825195312500 1709802.1678466796875000, 3115101.2839355468750000 1709783.9375610351562500))",2622,3923200024,1950,,"Garage/Shed Utility Building, Light Commercial    2135 2235",1,3.81,Garage/Shed,,562923,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11698642.385%2C4834184.463%2C-11698601.989%2C4834256.125&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,aerial_images_jefferson_80033_world_sample5/world_imagery/3923200024-world_imagery-ai-crop.jpg,,,,ok,,FALSE,640,640,128.22,55.49
4355 FIELD ST,WHEAT RIDGE,CO,80033,"POLYGON ((3112682.7622070312500000 1707318.7990722656250000, 3112695.4578857421875000 1707311.4557495117187500, 3112738.3457031250000000 1707286.6481323242187500, 3112720.7634277343750000 1707256.2506713867187500, 3112665.1795043945312500 1707288.4016113281250000, 3112674.5931396484375000 1707304.6768798828125000, 3112682.7622070312500000 1707318.7990722656250000))",2255,3922400005,1970,,"Garage/Shed School, Gymnasium    9149 9249",1,14.55,Garage/Shed,,240843,Esri World Imagery,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/export?bbox=-11699596.649%2C4833223.096%2C-11699547.395%2C4833268.314&bboxSR=3857&imageSR=3857&size=640%2C640&format=jpgpng&transparent=false&f=image,,,,,,missing,missing,TRUE,,,,
